"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"795",14,1583,16,0,56
"796",14,1591,16,0,56
"797",14,1592,16,0,56
"798",14,1593,16,0,56
"799",14,1594,16,0,56
"800",14,1596,16,0,56
"801",14,1597,16,0,56
"802",14,1598,16,0,56
"803",14,1600,16,0,56
"804",14,1603,16,0,56
"805",14,1608,16,0,56
"806",14,1611,16,0,56
"807",14,1613,16,0,56
"808",14,1621,16,0,56
"809",14,1622,16,0,56
"810",14,1623,16,0,56
"811",14,1624,16,0,56
"812",14,1626,16,0,56
"813",14,1627,16,0,56
"814",14,1628,16,0,56
"815",14,1631,16,0,56
"816",14,1633,16,0,56
"817",14,1637,16,0,56
"818",14,1638,16,0,56
"819",14,1639,16,0,56
"820",14,1640,16,0,56
"821",14,1641,16,0,56
"822",14,1642,16,0,56
"823",14,1643,16,0,56
"824",14,1649,17,0,56
"825",14,1650,17,0,56
"826",14,1654,17,0,56
"827",14,1655,17,0,56
"828",14,1657,17,0,56
"829",14,1658,17,0,56
"830",14,1659,17,0,56
"831",14,1662,17,0,56
"832",14,1663,17,0,56
"833",14,1665,17,0,56
"834",14,1666,17,0,56
"835",14,1671,17,0,56
"836",14,1675,17,0,56
"837",14,1677,17,0,56
"838",14,1680,17,0,56
"839",14,1682,17,0,56
"840",14,1684,17,0,56
"841",14,1685,17,0,56
"842",14,1686,17,0,56
"843",14,1687,17,0,56
"844",14,1690,17,0,56
"845",14,1693,17,0,56
"846",14,1694,17,0,56
"847",14,1697,17,0,56
"848",14,1698,17,0,56
"849",14,1699,17,0,56
"850",14,1702,17,0,56
"851",14,1705,17,0,56
"852",14,1707,17,0,56
"853",14,1708,17,0,56
"854",14,1709,17,0,56
"855",14,1711,17,0,56
"856",14,1713,17,0,56
"857",14,1715,17,0,56
"858",14,1716,17,0,56
"859",14,1717,17,0,56
"860",14,1719,17,0,56
"861",14,1722,17,0,56
"862",14,1726,17,0,56
"863",14,1728,17,0,56
"864",14,1729,17,0,56
"865",14,1730,17,0,56
"866",14,1732,18,0,56
"867",14,1733,18,0,56
"868",14,1734,18,0,56
"869",14,1737,18,0,56
"870",14,1738,18,0,56
"871",14,1740,18,0,56
"872",14,1742,18,0,56
"873",14,1744,18,0,56
"874",14,1745,18,0,56
"875",14,1749,18,0,56
"876",14,1752,18,0,56
