0_1_481_200_0,1_1_515_200_0,2_0_503_200_17,3_0_490_200_14,4_0_487_200_0,5_1_505_200_4,6_0_497_200_1,7_0_503_200_3,8_0_505_200_0,9_1_493_200_20,10_0_483_200_14,11_0_506_200_4,12_0_510_200_5,13_1_513_200_15,14_1_500_200_2,15_1_516_200_5,16_1_493_200_32,17_1_517_200_0,18_1_508_200_6,19_0_493_200_12,
0_1_496_199_5,1_1_520_200_11,2_1_520_200_12,3_1_480_200_3,4_0_515_200_10,5_1_480_200_1,6_1_493_200_0,7_0_485_200_0,8_0_480_200_0,9_1_517_200_0,10_0_485_200_0,11_0_484_200_0,12_0_503_200_11,13_0_495_200_10,14_1_520_200_1,15_1_512_200_0,16_0_515_200_0,17_1_481_200_8,18_0_506_200_0,19_0_493_200_5,
0_0_509_200_9,1_0_491_200_3,2_1_514_200_9,3_1_515_200_2,4_0_504_200_13,5_1_492_200_0,6_0_510_200_0,7_0_495_200_0,8_0_498_200_0,9_1_496_200_8,10_0_505_200_19,11_1_516_200_0,12_0_502_200_4,13_0_489_200_7,14_1_514_200_0,15_1_481_200_5,16_1_494_200_6,17_1_481_200_6,18_1_504_200_10,19_0_498_200_4,
0_0_512_199_9,1_1_483_200_9,2_0_510_200_0,3_0_520_200_1,4_1_515_200_0,5_1_512_200_15,6_1_500_200_23,7_1_501_200_13,8_1_507_200_4,9_1_515_200_0,10_0_502_200_0,11_0_481_200_0,12_0_494_200_0,13_1_487_200_5,14_1_496_200_10,15_0_519_200_5,16_0_484_200_9,17_1_509_200_0,18_0_488_200_3,19_0_514_200_0,
0_1_512_200_19,1_1_508_200_13,2_0_513_200_18,3_1_482_200_0,4_1_520_200_6,5_0_484_200_7,6_1_502_200_9,7_0_502_200_19,8_1_512_200_3,9_0_504_200_5,10_0_488_200_1,11_0_504_200_0,12_0_511_200_14,13_1_498_200_0,14_1_487_200_13,15_1_506_200_9,16_1_517_200_11,17_0_510_200_0,18_0_508_200_15,19_0_500_200_9,
0_0_518_200_10,1_1_483_200_0,2_1_506_200_0,3_1_516_200_5,4_1_498_200_0,5_0_498_200_26,6_0_490_200_5,7_0_504_200_0,8_0_480_200_2,9_0_499_200_14,10_1_516_200_8,11_1_482_200_0,12_1_504_200_9,13_0_505_200_19,14_1_503_200_0,15_0_488_200_8,16_1_482_200_11,17_0_507_200_1,18_1_515_200_13,19_0_483_200_13,
0_0_503_200_16,1_1_483_200_4,2_0_511_200_0,3_0_502_200_0,4_0_496_200_8,5_1_495_200_0,6_1_518_200_15,7_1_484_200_9,8_1_514_200_4,9_1_504_200_14,10_0_510_200_0,11_1_487_200_0,12_0_506_200_3,13_0_507_200_5,14_0_517_200_6,15_0_519_200_0,16_1_487_200_10,17_1_509_200_0,18_0_520_200_0,19_1_499_200_20,
0_0_480_199_2,1_0_495_200_5,2_1_491_200_0,3_1_493_200_16,4_1_493_200_2,5_0_501_200_3,6_1_482_200_4,7_1_517_200_0,8_1_519_200_0,9_0_509_200_4,10_1_480_200_0,11_0_489_200_8,12_0_480_200_9,13_0_507_200_0,14_1_506_200_27,15_0_486_200_12,16_1_491_200_0,17_0_495_200_0,18_0_518_200_14,19_1_509_200_0,
0_1_512_200_13,1_1_489_200_0,2_0_484_200_3,3_1_507_200_0,4_0_488_200_9,5_1_489_200_4,6_1_493_200_0,7_0_513_200_11,8_0_493_200_0,9_0_497_200_4,10_1_519_200_0,11_1_513_200_6,12_0_495_200_2,13_1_510_200_0,14_1_493_200_9,15_1_482_200_1,16_0_507_200_0,17_0_507_200_27,18_0_503_200_5,19_0_504_200_3,
0_0_513_199_0,1_1_492_200_5,2_0_481_200_0,3_1_514_200_13,4_1_507_200_8,5_1_494_200_2,6_0_496_200_0,7_0_508_200_9,8_0_510_200_16,9_0_511_200_2,10_0_500_200_10,11_1_510_200_6,12_0_516_200_10,13_1_513_200_0,14_0_513_200_3,15_1_505_200_18,16_1_493_200_17,17_0_484_200_9,18_1_496_200_8,19_1_498_200_3,
0_0_479_200_4,1_1_499_200_0,2_0_512_200_19,3_0_505_200_0,4_1_504_200_5,5_1_511_200_2,6_0_497_200_0,7_0_493_200_1,8_0_484_200_0,9_1_501_200_7,10_1_513_200_16,11_0_495_200_0,12_0_483_200_14,13_0_520_200_2,14_1_491_200_0,15_1_498_200_0,16_0_520_200_2,17_1_519_200_0,18_1_513_200_1,19_1_520_200_11,
0_0_497_199_3,1_0_501_200_5,2_0_501_200_8,3_1_483_200_0,4_0_485_200_6,5_1_500_200_1,6_1_495_200_2,7_0_500_200_0,8_1_509_200_2,9_0_518_200_0,10_0_502_200_7,11_0_506_200_0,12_1_518_200_26,13_1_483_200_4,14_0_493_200_4,15_1_517_200_0,16_1_483_200_3,17_1_504_200_1,18_1_515_200_12,19_0_497_200_2,
0_1_480_199_4,1_1_509_200_7,2_0_493_200_0,3_0_489_200_0,4_0_510_200_8,5_1_517_200_9,6_0_508_200_1,7_1_497_200_0,8_1_508_200_1,9_1_490_200_10,10_0_507_200_0,11_1_514_200_27,12_1_513_200_0,13_0_503_200_1,14_0_512_200_14,15_0_500_200_2,16_0_519_200_1,17_1_504_200_9,18_0_519_200_0,19_1_492_200_14,
0_0_485_200_2,1_0_486_200_6,2_0_504_200_2,3_0_502_200_0,4_1_509_200_6,5_1_510_200_6,6_0_520_200_0,7_1_518_200_11,8_0_490_200_1,9_1_480_200_11,10_0_484_200_20,11_0_513_200_1,12_1_493_200_7,13_1_485_200_0,14_1_493_200_7,15_0_491_200_0,16_1_489_200_0,17_1_497_200_12,18_1_516_200_0,19_0_507_200_0,
0_0_481_200_17,1_1_511_200_16,2_1_496_200_0,3_1_485_200_3,4_0_485_200_6,5_0_519_200_12,6_1_483_200_7,7_0_485_200_6,8_1_492_200_5,9_1_489_200_3,10_0_481_200_0,11_0_514_200_12,12_1_489_200_8,13_0_484_200_0,14_1_495_200_12,15_0_489_200_4,16_1_485_200_0,17_0_498_200_12,18_0_487_200_9,19_1_488_200_13,
0_1_506_200_5,1_0_502_200_14,2_1_498_200_3,3_1_511_200_12,4_1_489_200_0,5_1_492_200_0,6_0_484_200_10,7_0_500_200_15,8_1_516_200_9,9_1_520_200_0,10_1_516_200_2,11_0_501_200_12,12_0_483_200_28,13_0_505_200_8,14_1_508_200_19,15_0_520_200_6,16_0_510_200_3,17_1_495_200_13,18_0_496_200_0,19_0_491_200_0,
0_1_487_199_13,1_1_484_200_0,2_1_503_200_13,3_0_513_200_19,4_0_483_200_3,5_1_517_200_8,6_0_488_200_0,7_0_517_200_2,8_0_491_200_5,9_1_515_200_2,10_0_481_200_7,11_0_501_200_3,12_1_506_200_0,13_1_488_200_1,14_0_490_200_13,15_1_501_200_16,16_1_513_200_7,17_1_499_200_0,18_0_513_200_7,19_0_517_200_0,
