I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
0,3,3,5,-1.3862943611198906,-0.40546510810816444,
0,105,3,177,-4.663439094112067,-3.7954891891721947,
0,50,1,53,-3.9318256327243257,-3.295836866004329,
5,34,12,27,-1.7635885922613588,-0.7672551527136672,
3,71,5,89,-2.890371757896165,-2.70805020110221,
6,17,6,16,-0.9444616088408514,-0.8873031950009028,
6,28,8,65,-1.4213856809311607,-1.9924301646902063,
0,4,2,12,-1.6094379124341003,-1.466337068793427,
6,44,4,80,-1.8607523407150064,-2.7850112422383386,
2,11,2,22,-1.3862943611198906,-2.03688192726104,
2,71,5,101,-3.1780538303479458,-2.833213344056216,
5,28,3,42,-1.575536360758419,-2.374905754573672,
2,1,16,7,0.4054651081081644,0.7537718023763802,
0,24,3,37,-3.2188758248682006,-2.2512917986064953,
5,9,16,14,-0.5108256237659907,0.125163142954006,
3,149,5,166,-3.624340932976365,-3.3262343431887,
1,59,3,89,-3.4011973816621555,-3.1135153092103742,
6,17,9,19,-0.9444616088408514,-0.6931471805599453,
2,36,0,43,-2.512305623976115,-3.784189633918261,
5,17,13,21,-1.0986122886681098,-0.45198512374305727,
1,38,1,40,-2.9704144655697013,-3.0204248861443626,
0,30,2,39,-3.4339872044851463,-2.5902671654458267,
1,27,2,56,-2.639057329615259,-2.9444389791664407,
0,0,2,4,0.0,-0.5108256237659907,
1,17,0,28,-2.1972245773362196,-3.367295829986474,
4,40,5,49,-2.1041341542702074,-2.120263536200091,
3,17,7,31,-1.5040773967762742,-1.3862943611198906,
0,9,0,18,-2.3025850929940455,-2.9444389791664407,
6,60,9,70,-2.164963715117998,-1.9600947840472698,
0,130,2,219,-4.875197323201151,-4.295015257684252,
3,28,2,27,-1.9810014688665833,-2.2335922215070942,
4,36,5,65,-2.001480000210124,-2.3978952727983707,
2,12,6,21,-1.466337068793427,-1.1451323043030026,
1,0,5,5,0.6931471805599453,0.0,
2,37,8,63,-2.538973871058276,-1.9616585060234524,
7,65,12,77,-2.1102132003465894,-1.791759469228055,
4,9,8,16,-0.6931471805599453,-0.6359887667199967,
0,34,0,54,-3.5553480614894135,-4.007333185232471,
1,41,4,48,-3.044522437723423,-2.2823823856765264,
0,52,4,78,-3.970291913552122,-2.760009940032921,
1,17,2,28,-2.1972245773362196,-2.268683541318364,
8,28,24,30,-1.1700712526502546,-0.21511137961694557,
2,76,3,124,-3.245193133185574,-3.4420193761824103,
4,29,7,45,-1.791759469228055,-1.749199854809259,
0,16,2,22,-2.833213344056216,-2.03688192726104,
2,117,3,205,-3.672072335797555,-3.9415818076696905,
11,7,12,12,0.4054651081081644,0.0,
0,3,4,1,-1.3862943611198906,0.9162907318741551,
2,55,3,113,-2.9267394020670396,-3.349904087274605,
5,51,14,74,-2.159484249353372,-1.6094379124341003,
1,33,2,65,-2.833213344056216,-3.0910424533583156,
19,71,33,101,-1.2809338454620642,-1.0986122886681098,
4,20,5,16,-1.4350845252893227,-1.041453874828161,
2,25,4,43,-2.159484249353372,-2.174751721484161,
3,30,4,42,-2.0476928433652555,-2.151762203259462,
5,10,15,11,-0.6061358035703156,0.28768207245178085,
7,94,10,146,-2.474435349920705,-2.592537313980366,
5,63,1,97,-2.367123614131617,-3.891820298110627,
2,40,2,58,-2.6149597780361984,-2.9789251552376097,
0,77,2,107,-4.356708826689592,-3.58351893845611,
2,0,1,5,1.0986122886681098,-1.0986122886681098,
0,46,8,52,-3.8501476017100584,-1.7730673362159024,
0,29,2,38,-3.4011973816621555,-2.5649493574615367,
4,54,5,61,-2.3978952727983707,-2.3353749158170367,
8,11,16,15,-0.2876820724517809,0.06062462181643484,
2,16,1,29,-1.7346010553881064,-2.70805020110221,
10,41,13,35,-1.3397743454849977,-0.9444616088408514,
1,57,4,63,-3.367295829986474,-2.5494451709255714,
0,24,1,42,-3.2188758248682006,-3.068052935133617,
2,56,4,57,-2.9444389791664407,-2.451005098112319,
0,27,2,46,-3.332204510175204,-2.751535313041949,
4,105,6,133,-3.054001181677967,-2.951929650895598,
2,12,2,11,-1.466337068793427,-1.3862943611198906,
2,0,11,2,1.0986122886681098,1.3862943611198906,
1,23,2,41,-2.4849066497880004,-2.639057329615259,
1,25,4,55,-2.5649493574615367,-2.4159137783010487,
4,48,8,67,-2.2823823856765264,-2.0222831278398874,
7,19,6,23,-0.916290731874155,-1.2321436812926323,
0,60,5,75,-4.110873864173311,-2.538973871058276,
